Time	Carbon2	X
0.0	10.0	0.1
0.01	10.0	0.1
0.02	9.989474	0.101238
0.03	9.978817	0.102492
0.04	9.968029	0.103761
0.05	9.957107	0.105046
0.06	9.946049	0.106347
0.07	9.934855	0.107664
0.08	9.923522	0.108997
0.09	9.912049	0.110347
0.1	9.900433	0.111714
0.11	9.888674	0.113097
0.12	9.876769	0.114498
0.13	9.864717	0.115916
0.14	9.852516	0.117351
0.15	9.840163	0.118804
0.16	9.827658	0.120276
0.17	9.814997	0.121765
0.18	9.80218	0.123273
0.19	9.789204	0.1248
0.2	9.776067	0.126345
0.21	9.762768	0.12791
0.22	9.749304	0.129494
0.23	9.735673	0.131097
0.24	9.721874	0.132721
0.25	9.707903	0.134364
0.26	9.69376	0.136028
0.27	9.679441	0.137713
0.28	9.664946	0.139418
0.29	9.65027	0.141145
0.3	9.635413	0.142893
0.31	9.620372	0.144662
0.32	9.605144	0.146454
0.33	9.589728	0.148267
0.34	9.574122	0.150103
0.35000000000000003	9.558321	0.151962
0.36	9.542326	0.153844
0.37	9.526132	0.155749
0.38	9.509737	0.157678
0.39	9.49314	0.159631
0.4	9.476337	0.161607
0.41000000000000003	9.459326	0.163609
0.42	9.442104	0.165635
0.43	9.424669	0.167686
0.44	9.407018	0.169763
0.45	9.389148	0.171865
0.46	9.371058	0.173993
0.47000000000000003	9.352743	0.176148
0.48	9.334201	0.178329
0.49	9.31543	0.180538
0.5	9.296426	0.182773
0.51	9.277187	0.185037
0.52	9.25771	0.187328
0.53	9.237991	0.189648
0.54	9.218029	0.191997
0.55	9.197819	0.194374
0.56	9.177358	0.196781
0.5700000000000001	9.156645	0.199218
0.58	9.135675	0.201685
0.59	9.114445	0.204183
0.6	9.092952	0.206711
0.61	9.071194	0.209271
0.62	9.049165	0.211863
0.63	9.026864	0.214487
0.64	9.004287	0.217143
0.65	8.98143	0.219832
0.66	8.95829	0.222554
0.67	8.934864	0.22531
0.68	8.911147	0.2281
0.6900000000000001	8.887137	0.230925
0.7000000000000001	8.862829	0.233785
0.71	8.838221	0.23668
0.72	8.813307	0.239611
0.73	8.788086	0.242578
0.74	8.762551	0.245582
0.75	8.736701	0.248623
0.76	8.71053	0.251702
0.77	8.684036	0.254819
0.78	8.657213	0.257975
0.79	8.630058	0.26117
0.8	8.602567	0.264404
0.81	8.574735	0.267678
0.8200000000000001	8.546559	0.270993
0.8300000000000001	8.518034	0.274349
0.84	8.489155	0.277746
0.85	8.459919	0.281186
0.86	8.430321	0.284668
0.87	8.400356	0.288193
0.88	8.37002	0.291762
0.89	8.339309	0.295375
0.9	8.308217	0.299033
0.91	8.276741	0.302736
0.92	8.244874	0.306485
0.93	8.212613	0.310281
0.9400000000000001	8.179952	0.314123
0.9500000000000001	8.146887	0.318013
0.96	8.113412	0.321952
0.97	8.079523	0.325938
0.98	8.045214	0.329975
0.99	8.01048	0.334061
1.0	7.975316	0.338198
1.01	7.939717	0.342386
1.02	7.903677	0.346626
1.03	7.86719	0.350919
1.04	7.830252	0.355264
1.05	7.792856	0.359664
1.06	7.754997	0.364118
1.07	7.71667	0.368627
1.08	7.677867	0.373192
1.09	7.638584	0.377814
1.1	7.598815	0.382492
1.11	7.558553	0.387229
1.12	7.517793	0.392024
1.1300000000000001	7.476528	0.396879
1.1400000000000001	7.434751	0.401794
1.1500000000000001	7.392458	0.40677
1.16	7.34964	0.411807
1.17	7.306293	0.416907
1.18	7.262409	0.42207
1.19	7.217981	0.427296
1.2	7.173003	0.432588
1.21	7.127468	0.437945
1.22	7.081369	0.443368
1.23	7.034699	0.448859
1.24	6.987451	0.454417
1.25	6.939619	0.460045
1.26	6.891193	0.465742
1.27	6.842169	0.47151
1.28	6.792537	0.477349
1.29	6.74229	0.48326
1.3	6.691421	0.489245
1.31	6.639922	0.495303
1.32	6.587786	0.501437
1.33	6.535004	0.507647
1.34	6.481568	0.513933
1.35	6.42747	0.520298
1.36	6.372703	0.526741
1.37	6.317257	0.533264
1.3800000000000001	6.261125	0.539868
1.3900000000000001	6.204297	0.546553
1.4000000000000001	6.146766	0.553322
1.41	6.088523	0.560174
1.42	6.029558	0.567111
1.43	5.969863	0.574134
1.44	5.909428	0.581244
1.45	5.848245	0.588442
1.46	5.786305	0.595729
1.47	5.723597	0.603106
1.48	5.660113	0.610575
1.49	5.595843	0.618136
1.5	5.530777	0.625791
1.51	5.464905	0.633541
1.52	5.398218	0.641386
1.53	5.330704	0.649329
1.54	5.262355	0.65737
1.55	5.193159	0.665511
1.56	5.123106	0.673752
1.57	5.052185	0.682096
1.58	4.980387	0.690543
1.59	4.907699	0.699094
1.6	4.834111	0.707752
1.61	4.759612	0.716516
1.62	4.68419	0.725389
1.6300000000000001	4.607834	0.734372
1.6400000000000001	4.530533	0.743467
1.6500000000000001	4.452274	0.752674
1.6600000000000001	4.373046	0.761995
1.67	4.292837	0.771431
1.68	4.211635	0.780984
1.69	4.129427	0.790656
1.7	4.046201	0.800447
1.71	3.961945	0.810359
1.72	3.876645	0.820395
1.73	3.790289	0.830554
1.74	3.702863	0.84084
1.75	3.614355	0.851252
1.76	3.52475	0.861794
1.77	3.434036	0.872466
1.78	3.342199	0.883271
1.79	3.249224	0.894209
1.8	3.155098	0.905283
1.81	3.059807	0.916493
1.82	2.963335	0.927843
1.83	2.865668	0.939333
1.84	2.766792	0.950966
1.85	2.666692	0.962742
1.86	2.565352	0.974664
1.87	2.462757	0.986734
1.8800000000000001	2.358892	0.998954
1.8900000000000001	2.25374	1.011325
1.9000000000000001	2.147286	1.023849
1.9100000000000001	2.039514	1.036528
1.92	1.930407	1.049364
1.93	1.819949	1.062359
1.94	1.708123	1.075515
1.95	1.594913	1.088834
1.96	1.4803	1.102318
1.97	1.364268	1.115968
1.98	1.246799	1.129788
1.99	1.127876	1.143779
2.0	1.007479	1.157944
2.0100000000000002	0.885592	1.172283
2.02	0.762195	1.186801
2.0300000000000002	0.637271	1.201498
2.04	0.510799	1.216377
2.05	0.382761	1.23144
2.06	0.253137	1.24669
2.07	0.121908	1.262128
2.08	0.0	1.276552
2.09	0.0	1.276552
2.1	0.0	1.276552
2.11	0.0	1.276552
2.12	0.0	1.276552
2.13	0.0	1.276552
2.14	0.0	1.276552
2.15	0.0	1.276552
2.16	0.0	1.276552
2.17	0.0	1.276552
2.18	0.0	1.276552
2.19	0.0	1.276552
2.2	0.0	1.276552
2.21	0.0	1.276552
2.22	0.0	1.276552
2.23	0.0	1.276552
2.24	0.0	1.276552
2.25	0.0	1.276552
2.2600000000000002	0.0	1.276552
2.27	0.0	1.276552
2.2800000000000002	0.0	1.276552
2.29	0.0	1.276552
2.3000000000000003	0.0	1.276552
2.31	0.0	1.276552
2.32	0.0	1.276552
2.33	0.0	1.276552
2.34	0.0	1.276552
2.35	0.0	1.276552
2.36	0.0	1.276552
2.37	0.0	1.276552
2.38	0.0	1.276552
2.39	0.0	1.276552
2.4	0.0	1.276552
2.41	0.0	1.276552
2.42	0.0	1.276552
2.43	0.0	1.276552
2.44	0.0	1.276552
2.45	0.0	1.276552
2.46	0.0	1.276552
2.47	0.0	1.276552
2.48	0.0	1.276552
2.49	0.0	1.276552
2.5	0.0	1.276552
2.5100000000000002	0.0	1.276552
2.52	0.0	1.276552
2.5300000000000002	0.0	1.276552
2.54	0.0	1.276552
2.5500000000000003	0.0	1.276552
2.56	0.0	1.276552
2.57	0.0	1.276552
2.58	0.0	1.276552
