Time	Carbon1	Carbon2	X
0.0	10.0	10.0	0.01
0.01	0.0	10.0	220.264658
0.02	0.0	10.0	220.264658
0.03	0.0	0.0	230.495132
0.04	0.0	0.0	230.495132
0.05	0.0	0.0	230.495132
0.06	0.0	0.0	230.495132
0.07	0.0	0.0	230.495132
0.08	0.0	0.0	230.495132
0.09	0.0	0.0	230.495132
0.1	0.0	0.0	230.495132
0.11	0.0	0.0	230.495132
0.12	0.0	0.0	230.495132
0.13	0.0	0.0	230.495132
0.14	0.0	0.0	230.495132
0.15	0.0	0.0	230.495132
0.16	0.0	0.0	230.495132
0.17	0.0	0.0	230.495132
0.18	0.0	0.0	230.495132
0.19	0.0	0.0	230.495132
