Time	Carbon2	Hext	X
0.0	5.0	10.0	0.01
0.01	5.0	10.0	0.01
0.02	4.998934	9.999493	0.010301
0.03	4.997837	9.99897	0.01061
0.04	4.996706	9.998431	0.010929
0.05	4.995541	9.997877	0.011258
0.06	4.994341	9.997305	0.011596
0.07	4.993106	9.996717	0.011945
0.08	4.991833	9.996111	0.012304
0.09	4.990521	9.995486	0.012673
0.1	4.989171	9.994843	0.013054
0.11	4.98778	9.994181	0.013447
0.12	4.986347	9.993498	0.013851
0.13	4.984871	9.992795	0.014267
0.14	4.98335	9.992071	0.014696
0.15	4.981784	9.991326	0.015138
0.16	4.980171	9.990557	0.015593
0.17	4.978509	9.989766	0.016062
0.18	4.976797	9.988951	0.016544
0.19	4.975034	9.988111	0.017042
0.2	4.973218	9.987247	0.017554
0.21	4.971347	9.986356	0.018082
0.22	4.96942	9.985438	0.018625
0.23	4.967435	9.984493	0.019185
0.24	4.965391	9.983519	0.019762
0.25	4.963285	9.982517	0.020356
0.26	4.961116	9.981484	0.020967
0.27	4.958881	9.98042	0.021598
0.28	4.956579	9.979323	0.022247
0.29	4.954208	9.978195	0.022916
0.3	4.951766	9.977032	0.023604
0.31	4.949251	9.975834	0.024314
0.32	4.94666	9.9746	0.025045
0.33	4.943991	9.973329	0.025797
0.34	4.941241	9.97202	0.026573
0.35000000000000003	4.93841	9.970671	0.027372
0.36	4.935493	9.969282	0.028194
0.37	4.932488	9.967851	0.029042
0.38	4.929393	9.966378	0.029915
0.39	4.926205	9.964859	0.030814
0.4	4.922921	9.963296	0.03174
0.41000000000000003	4.919538	9.961685	0.032694
0.42	4.916054	9.960026	0.033677
0.43	4.912465	9.958317	0.034689
0.44	4.908768	9.956556	0.035732
0.45	4.90496	9.954743	0.036806
0.46	4.901038	9.952875	0.037912
0.47000000000000003	4.896998	9.950951	0.039052
0.48	4.892836	9.948969	0.040226
0.49	4.888549	9.946928	0.041435
0.5	4.884133	9.944825	0.04268
0.51	4.879585	9.942659	0.043963
0.52	4.8749	9.940428	0.045285
0.53	4.870074	9.93813	0.046646
0.54	4.865103	9.935763	0.048048
0.55	4.859982	9.933325	0.049492
0.56	4.854708	9.930813	0.05098
0.5700000000000001	4.849275	9.928226	0.052512
0.58	4.843678	9.925561	0.054091
0.59	4.837914	9.922816	0.055717
0.6	4.831976	9.919989	0.057391
0.61	4.82586	9.917076	0.059116
0.62	4.81956	9.914076	0.060893
0.63	4.813071	9.910986	0.062724
0.64	4.806386	9.907803	0.064609
0.65	4.799501	9.904524	0.066551
0.66	4.792408	9.901147	0.068551
0.67	4.785103	9.897668	0.070612
0.68	4.777578	9.894085	0.072735
0.6900000000000001	4.769826	9.890393	0.074921
0.7000000000000001	4.761842	9.886591	0.077173
0.71	4.753618	9.882675	0.079492
