Time	Carbon2	Hext	X
0.0	10.0	2.0	0.01
0.01	10.0	2.0	0.01
0.02	9.998934	1.999493	0.010301
0.03	9.997837	1.99897	0.01061
0.04	9.996706	1.998431	0.010929
0.05	9.995541	1.997877	0.011258
0.06	9.994341	1.997305	0.011596
0.07	9.993106	1.996717	0.011945
0.08	9.991833	1.996111	0.012304
0.09	9.990521	1.995486	0.012673
0.1	9.989171	1.994843	0.013054
0.11	9.98778	1.994181	0.013447
0.12	9.986347	1.993498	0.013851
0.13	9.984871	1.992795	0.014267
0.14	9.98335	1.992071	0.014696
0.15	9.981784	1.991326	0.015138
0.16	9.980171	1.990557	0.015593
0.17	9.978509	1.989766	0.016062
0.18	9.976797	1.988951	0.016544
0.19	9.975034	1.988111	0.017042
0.2	9.973218	1.987247	0.017554
0.21	9.971347	1.986356	0.018082
0.22	9.96942	1.985438	0.018625
0.23	9.967435	1.984493	0.019185
0.24	9.965391	1.983519	0.019762
0.25	9.963285	1.982517	0.020356
0.26	9.961116	1.981484	0.020967
0.27	9.958881	1.98042	0.021598
0.28	9.956579	1.979323	0.022247
0.29	9.954208	1.978195	0.022916
0.3	9.951766	1.977032	0.023604
0.31	9.949251	1.975834	0.024314
0.32	9.94666	1.9746	0.025045
0.33	9.943991	1.973329	0.025797
0.34	9.941241	1.97202	0.026573
0.35000000000000003	9.93841	1.970671	0.027372
0.36	9.935493	1.969282	0.028194
0.37	9.932488	1.967851	0.029042
0.38	9.929393	1.966378	0.029915
0.39	9.926205	1.964859	0.030814
0.4	9.922921	1.963296	0.03174
0.41000000000000003	9.919538	1.961685	0.032694
0.42	9.916054	1.960026	0.033677
0.43	9.912465	1.958317	0.034689
0.44	9.908768	1.956556	0.035732
0.45	9.90496	1.954743	0.036806
0.46	9.901038	1.952875	0.037912
0.47000000000000003	9.896998	1.950951	0.039052
0.48	9.892836	1.948969	0.040226
0.49	9.888549	1.946928	0.041435
0.5	9.884133	1.944825	0.04268
0.51	9.879585	1.942659	0.043963
0.52	9.8749	1.940428	0.045285
0.53	9.870074	1.93813	0.046646
0.54	9.865103	1.935763	0.048048
0.55	9.859982	1.933325	0.049492
0.56	9.854708	1.930813	0.05098
0.5700000000000001	9.849275	1.928226	0.052512
0.58	9.843678	1.925561	0.054091
0.59	9.837914	1.922816	0.055717
0.6	9.831976	1.919989	0.057391
0.61	9.82586	1.917076	0.059116
0.62	9.81956	1.914076	0.060893
0.63	9.813071	1.910986	0.062724
0.64	9.806386	1.907803	0.064609
0.65	9.799501	1.904524	0.066551
0.66	9.792408	1.901147	0.068551
0.67	9.785103	1.897668	0.070612
0.68	9.777578	1.894085	0.072735
0.6900000000000001	9.769826	1.890393	0.074921
0.7000000000000001	9.761842	1.886591	0.077173
0.71	9.753618	1.882675	0.079492
0.72	9.745146	1.878641	0.081882
0.73	9.73642	1.874486	0.084343
0.74	9.727432	1.870205	0.086878
0.75	9.718173	1.865797	0.08949
0.76	9.708636	1.861255	0.09218
0.77	9.698812	1.856577	0.09495
0.78	9.688693	1.851759	0.097804
0.79	9.67827	1.846795	0.100744
0.8	9.667534	1.841683	0.103772
0.81	9.656475	1.836417	0.106892
0.8200000000000001	9.645084	1.830992	0.110105
0.8300000000000001	9.63335	1.825405	0.113414
0.84	9.621263	1.819649	0.116823
0.85	9.608813	1.813721	0.120335
0.86	9.595989	1.807614	0.123952
0.87	9.582779	1.801324	0.127678
0.88	9.569173	1.794844	0.131515
0.89	9.555157	1.78817	0.135468
0.9	9.54072	1.781295	0.13954
0.91	9.525849	1.774214	0.143735
0.92	9.510532	1.76692	0.148055
0.93	9.494753	1.759406	0.152505
0.9400000000000001	9.478501	1.751667	0.15709
0.9500000000000001	9.46176	1.743695	0.161811
0.96	9.444515	1.735484	0.166675
0.97	9.426753	1.727025	0.171685
0.98	9.408456	1.718313	0.176846
0.99	9.38961	1.709338	0.182161
1.0	9.370197	1.700094	0.187637
1.01	9.3502	1.690572	0.193277
1.02	9.329603	1.680763	0.199086
1.03	9.308386	1.67066	0.205071
1.04	9.286532	1.660253	0.211235
1.05	9.26402	1.649533	0.217584
1.06	9.240832	1.638492	0.224124
1.07	9.216947	1.627118	0.230861
1.08	9.192344	1.615402	0.2378
1.09	9.167002	1.603334	0.244948
1.1	9.140898	1.590904	0.252311
1.11	9.114009	1.578099	0.259895
1.12	9.086312	1.56491	0.267707
1.1300000000000001	9.057782	1.551325	0.275754
1.1400000000000001	9.028395	1.537331	0.284042
1.1500000000000001	8.998125	1.522916	0.29258
1.16	8.966944	1.508069	0.301375
1.17	8.934827	1.492775	0.310434
1.18	8.901744	1.477021	0.319765
1.19	8.867666	1.460793	0.329376
1.2	8.832565	1.444078	0.339277
1.21	8.796408	1.426861	0.349475
1.22	8.759164	1.409126	0.359979
1.23	8.720801	1.390858	0.3708
1.24	8.681285	1.37204	0.381945
1.25	8.640581	1.352658	0.393426
1.26	8.598653	1.332692	0.405252
1.27	8.555466	1.312126	0.417433
1.28	8.51098	1.290943	0.42998
1.29	8.465157	1.269122	0.442905
1.3	8.417956	1.246646	0.456218
1.31	8.369337	1.223494	0.469931
1.32	8.319256	1.199646	0.484056
1.33	8.26767	1.175081	0.498606
1.34	8.214534	1.149778	0.513593
1.35	8.1598	1.123714	0.529031
1.36	8.103421	1.096867	0.544933
1.37	8.045347	1.069213	0.561312
1.3800000000000001	7.985528	1.040728	0.578184
1.3900000000000001	7.923911	1.011386	0.595564
1.4000000000000001	7.860442	0.981163	0.613465
1.41	7.795064	0.950031	0.631905
1.42	7.727722	0.917963	0.650899
1.43	7.658356	0.884931	0.670464
1.44	7.586904	0.850907	0.690617
1.45	7.513305	0.815859	0.711376
1.46	7.437493	0.779759	0.732758
1.47	7.359403	0.742573	0.754784
1.48	7.278966	0.704269	0.777471
1.49	7.19611	0.664814	0.800841
1.5	7.110765	0.624174	0.824913
1.51	7.022853	0.582311	0.849708
1.52	6.9323	0.53919	0.875249
1.53	6.839024	0.494773	0.901557
1.54	6.742945	0.449021	0.928657
1.55	6.643978	0.401894	0.95657
1.56	6.542036	0.35335	0.985323
1.57	6.43703	0.303348	1.01494
1.58	6.328867	0.251842	1.045448
1.59	6.217454	0.198787	1.076872
1.6	6.102691	0.144139	1.109241
1.61	5.984479	0.087847	1.142583
1.62	5.862714	0.029864	1.176927
1.6300000000000001	5.754268	0.0	1.207173
1.6400000000000001	5.754268	0.0	1.207173
1.6500000000000001	5.625976	0.0	1.236608
1.6600000000000001	5.494555	0.0	1.26676
1.67	5.35993	0.0	1.297648
1.68	5.222023	0.0	1.32929
1.69	5.080753	0.0	1.361702
1.7	4.936038	0.0	1.394905
1.71	4.787794	0.0	1.428918
1.72	4.635936	0.0	1.46376
1.73	4.480375	0.0	1.499451
1.74	4.321021	0.0	1.536013
1.75	4.157781	0.0	1.573466
1.76	3.990561	0.0	1.611833
1.77	3.819263	0.0	1.651135
1.78	3.643789	0.0	1.691395
1.79	3.464036	0.0	1.732637
1.8	3.2799	0.0	1.774885
1.81	3.091274	0.0	1.818163
1.82	2.898049	0.0	1.862496
1.83	2.700112	0.0	1.90791
1.84	2.497349	0.0	1.954431
1.85	2.289642	0.0	2.002087
1.86	2.07687	0.0	2.050905
1.87	1.85891	0.0	2.100913
1.8800000000000001	1.635636	0.0	2.15214
1.8900000000000001	1.406917	0.0	2.204617
1.9000000000000001	1.172622	0.0	2.258373
1.9100000000000001	0.932613	0.0	2.31344
1.92	0.686752	0.0	2.369849
1.93	0.434897	0.0	2.427635
1.94	0.1769	0.0	2.486829
1.95	0.0	0.0	2.532695
1.96	0.0	0.0	2.532695
1.97	0.0	0.0	2.532695
1.98	0.0	0.0	2.532695
1.99	0.0	0.0	2.532695
2.0	0.0	0.0	2.532695
2.0100000000000002	0.0	0.0	2.532695
2.02	0.0	0.0	2.532695
2.0300000000000002	0.0	0.0	2.532695
2.04	0.0	0.0	2.532695
2.05	0.0	0.0	2.532695
2.06	0.0	0.0	2.532695
2.07	0.0	0.0	2.532695
2.08	0.0	0.0	2.532695
2.09	0.0	0.0	2.532695
2.1	0.0	0.0	2.532695
2.11	0.0	0.0	2.532695
2.12	0.0	0.0	2.532695
2.13	0.0	0.0	2.532695
2.14	0.0	0.0	2.532695
2.15	0.0	0.0	2.532695
2.16	0.0	0.0	2.532695
2.17	0.0	0.0	2.532695
2.18	0.0	0.0	2.532695
2.19	0.0	0.0	2.532695
2.2	0.0	0.0	2.532695
2.21	0.0	0.0	2.532695
2.22	0.0	0.0	2.532695
2.23	0.0	0.0	2.532695
2.24	0.0	0.0	2.532695
2.25	0.0	0.0	2.532695
2.2600000000000002	0.0	0.0	2.532695
2.27	0.0	0.0	2.532695
2.2800000000000002	0.0	0.0	2.532695
2.29	0.0	0.0	2.532695
2.3000000000000003	0.0	0.0	2.532695
2.31	0.0	0.0	2.532695
2.32	0.0	0.0	2.532695
2.33	0.0	0.0	2.532695
2.34	0.0	0.0	2.532695
2.35	0.0	0.0	2.532695
2.36	0.0	0.0	2.532695
2.37	0.0	0.0	2.532695
2.38	0.0	0.0	2.532695
2.39	0.0	0.0	2.532695
2.4	0.0	0.0	2.532695
2.41	0.0	0.0	2.532695
2.42	0.0	0.0	2.532695
2.43	0.0	0.0	2.532695
2.44	0.0	0.0	2.532695
2.45	0.0	0.0	2.532695
2.46	0.0	0.0	2.532695
2.47	0.0	0.0	2.532695
2.48	0.0	0.0	2.532695
2.49	0.0	0.0	2.532695
2.5	0.0	0.0	2.532695
2.5100000000000002	0.0	0.0	2.532695
2.52	0.0	0.0	2.532695
2.5300000000000002	0.0	0.0	2.532695
2.54	0.0	0.0	2.532695
2.5500000000000003	0.0	0.0	2.532695
2.56	0.0	0.0	2.532695
2.57	0.0	0.0	2.532695
2.58	0.0	0.0	2.532695
2.59	0.0	0.0	2.532695
2.6	0.0	0.0	2.532695
2.61	0.0	0.0	2.532695
2.62	0.0	0.0	2.532695
2.63	0.0	0.0	2.532695
2.64	0.0	0.0	2.532695
2.65	0.0	0.0	2.532695
2.66	0.0	0.0	2.532695
2.67	0.0	0.0	2.532695
2.68	0.0	0.0	2.532695
2.69	0.0	0.0	2.532695
2.7	0.0	0.0	2.532695
2.71	0.0	0.0	2.532695
2.72	0.0	0.0	2.532695
2.73	0.0	0.0	2.532695
2.74	0.0	0.0	2.532695
2.75	0.0	0.0	2.532695
2.7600000000000002	0.0	0.0	2.532695
2.77	0.0	0.0	2.532695
2.7800000000000002	0.0	0.0	2.532695
2.79	0.0	0.0	2.532695
2.8000000000000003	0.0	0.0	2.532695
2.81	0.0	0.0	2.532695
2.82	0.0	0.0	2.532695
2.83	0.0	0.0	2.532695
2.84	0.0	0.0	2.532695
2.85	0.0	0.0	2.532695
2.86	0.0	0.0	2.532695
2.87	0.0	0.0	2.532695
2.88	0.0	0.0	2.532695
2.89	0.0	0.0	2.532695
2.9	0.0	0.0	2.532695
2.91	0.0	0.0	2.532695
2.92	0.0	0.0	2.532695
2.93	0.0	0.0	2.532695
2.94	0.0	0.0	2.532695
2.95	0.0	0.0	2.532695
2.96	0.0	0.0	2.532695
2.97	0.0	0.0	2.532695
2.98	0.0	0.0	2.532695
2.99	0.0	0.0	2.532695
