Time	Carbon1	Carbon2	Fext	Hext	X
0.0	1.0	10.0	0.1	2.5	0.01
0.01	1.0	10.0	0.1	2.5	0.01
0.02	0.998931	9.99998	0.099642	2.499491	0.010358
0.03	0.997824	9.99998	0.099273	2.498964	0.010727
0.04	0.996678	9.99998	0.098891	2.498418	0.011109
0.05	0.995491	9.99998	0.098495	2.497853	0.011505
0.06	0.994262	9.99998	0.098085	2.497267	0.011915
0.07	0.992988	9.99998	0.097661	2.496661	0.012339
0.08	0.99167	9.99998	0.097221	2.496033	0.012779
0.09	0.990304	9.99998	0.096766	2.495383	0.013234
0.1	0.98889	9.99998	0.096295	2.49471	0.013705
0.11	0.987426	9.99998	0.095807	2.494012	0.014193
0.12	0.985909	9.99998	0.095301	2.49329	0.014699
0.13	0.984338	9.99998	0.094778	2.492542	0.015222
0.14	0.982712	9.99998	0.094235	2.491768	0.015765
0.15	0.981027	9.99998	0.093674	2.490965	0.016326
0.16	0.979283	9.99998	0.093092	2.490135	0.016908
0.17	0.977476	9.99998	0.09249	2.489274	0.01751
0.18	0.975605	9.99998	0.091866	2.488383	0.018134
0.19	0.973667	9.99998	0.09122	2.48746	0.01878
0.2	0.97166	9.99998	0.090552	2.486505	0.019448
0.21	0.969582	9.99998	0.089859	2.485515	0.020141
0.22	0.96743	9.99998	0.089141	2.48449	0.020859
0.23	0.965201	9.99998	0.088398	2.483429	0.021602
0.24	0.962892	9.99998	0.087629	2.48233	0.022371
0.25	0.960502	9.99998	0.086832	2.481191	0.023168
0.26	0.958026	9.99998	0.086007	2.480012	0.023993
0.27	0.955462	9.99998	0.085152	2.478792	0.024848
0.28	0.952807	9.99998	0.084267	2.477527	0.025733
0.29	0.950057	9.99998	0.083351	2.476218	0.026649
0.3	0.94721	9.99998	0.082401	2.474862	0.027599
0.31	0.94426	9.99998	0.081418	2.473457	0.028582
0.32	0.941206	9.99998	0.0804	2.472003	0.0296
0.33	0.938043	9.99998	0.079346	2.470497	0.030654
0.34	0.934768	9.99998	0.078254	2.468937	0.031746
0.35000000000000003	0.931375	9.99998	0.077123	2.467322	0.032877
0.36	0.927862	9.99998	0.075952	2.465649	0.034048
0.37	0.924224	9.99998	0.074739	2.463916	0.035261
0.38	0.920456	9.99998	0.073483	2.462122	0.036517
0.39	0.916554	9.99998	0.072183	2.460264	0.037817
0.4	0.912512	9.99998	0.070836	2.458339	0.039164
0.41000000000000003	0.908327	9.99998	0.069441	2.456346	0.040559
0.42	0.903993	9.99998	0.067996	2.454283	0.042004
0.43	0.899505	9.99998	0.0665	2.452145	0.0435
0.44	0.894856	9.99998	0.06495	2.449932	0.04505
0.45	0.890042	9.99998	0.063346	2.447639	0.046654
0.46	0.885057	9.99998	0.061684	2.445265	0.048316
0.47000000000000003	0.879894	9.99998	0.059963	2.442807	0.050037
0.48	0.874547	9.99998	0.05818	2.44026	0.05182
0.49	0.86901	9.99998	0.056335	2.437624	0.053665
0.5	0.863275	9.99998	0.054423	2.434893	0.055577
0.51	0.857336	9.99998	0.052444	2.432065	0.057556
0.52	0.851186	9.99998	0.050393	2.429136	0.059607
0.53	0.844816	9.99998	0.04827	2.426103	0.06173
0.54	0.83822	9.99998	0.046071	2.422962	0.063929
0.55	0.831388	9.99998	0.043794	2.419709	0.066206
0.56	0.824314	9.99998	0.041436	2.41634	0.068564
0.5700000000000001	0.816987	9.99998	0.038994	2.412851	0.071006
0.58	0.809399	9.99998	0.036465	2.409238	0.073535
0.59	0.801541	9.99998	0.033845	2.405496	0.076155
0.6	0.793404	9.99998	0.031133	2.401621	0.078867
0.61	0.784976	9.99998	0.028323	2.397608	0.081677
0.62	0.776248	9.99998	0.025414	2.393451	0.084586
0.63	0.767209	9.99998	0.022401	2.389147	0.087599
0.64	0.757849	9.99998	0.019281	2.38469	0.090719
0.65	0.748154	9.99998	0.01605	2.380074	0.09395
0.66	0.738115	9.99998	0.012703	2.375293	0.097297
0.67	0.727718	9.99998	0.009237	2.370342	0.100763
0.68	0.71695	9.99998	0.005648	2.365215	0.104352
0.6900000000000001	0.7058	9.99998	0.001931	2.359905	0.108069
0.7000000000000001	0.694267	9.99998	0.0	2.354413	0.111624
0.71	0.682371	9.99998	0.0	2.348748	0.114979
0.72	0.670118	9.99998	0.0	2.342913	0.118435
0.73	0.657496	9.99998	0.0	2.336903	0.121995
0.74	0.644495	9.99998	0.0	2.330712	0.125662
0.75	0.631103	9.99998	0.0	2.324335	0.129439
0.76	0.617309	9.99998	0.0	2.317766	0.13333
0.77	0.6031	9.99998	0.0	2.311	0.137337
0.78	0.588464	9.99998	0.0	2.30403	0.141465
0.79	0.573388	9.99998	0.0	2.296851	0.145718
0.8	0.557859	9.99998	0.0	2.289457	0.150098
0.81	0.541863	9.99998	0.0	2.281839	0.154609
0.8200000000000001	0.525386	9.99998	0.0	2.273993	0.159257
0.8300000000000001	0.508414	9.99998	0.0	2.265911	0.164044
0.84	0.490932	9.99998	0.0	2.257587	0.168974
0.85	0.472924	9.99998	0.0	2.249012	0.174053
0.86	0.454375	9.99998	0.0	2.240179	0.179285
0.87	0.435269	9.99998	0.0	2.23108	0.184674
0.88	0.415588	9.99998	0.0	2.221709	0.190225
0.89	0.395316	9.99998	0.0	2.212055	0.195943
0.9	0.374434	9.99998	0.0	2.202111	0.201833
0.91	0.352925	9.99998	0.0	2.191869	0.2079
0.92	0.330769	9.99998	0.0	2.181318	0.214149
0.93	0.307947	9.99998	0.0	2.170451	0.220586
0.9400000000000001	0.284439	9.99998	0.0	2.159257	0.227216
0.9500000000000001	0.260224	9.99998	0.0	2.147726	0.234046
0.96	0.235282	9.99998	0.0	2.135849	0.241081
0.97	0.20959	9.99998	0.0	2.123614	0.248327
0.98	0.183126	9.99998	0.0	2.111012	0.255791
